Age,Heart_Rate,Calories,Gender_male
68,105.0,231.0,1
20,94.0,66.0,0
69,88.0,26.0,1
34,100.0,71.0,0
27,81.0,35.0,0
36,96.0,123.0,0
33,95.0,112.0,0
41,100.0,143.0,1
60,97.0,134.0,1
26,90.0,72.0,0
36,74.0,3.0,0
21,100.0,92.0,0
66,90.0,58.0,1
32,93.0,88.0,0
53,82.0,7.0,1
39,104.0,170.0,0
39,82.0,11.0,1
46,89.0,43.0,1
27,85.0,15.0,0
50,94.0,74.0,1
67,77.0,29.0,1
31,84.0,32.0,0
33,80.0,10.0,0
20,100.0,155.0,0
48,80.0,3.0,1
29,83.0,24.0,1
33,78.0,12.0,1
42,83.0,10.0,1
62,106.0,195.0,0
38,81.0,5.0,1
20,97.0,69.0,1
25,102.0,136.0,0
24,91.0,80.0,0
42,93.0,107.0,0
22,114.0,200.0,1
74,93.0,56.0,0
70,88.0,50.0,0
26,96.0,100.0,0
44,114.0,200.0,1
61,81.0,4.0,1
68,92.0,70.0,0
61,104.0,127.0,0
63,108.0,197.0,1
54,98.0,113.0,0
54,80.0,11.0,0
47,93.0,82.0,0
33,86.0,26.0,1
24,105.0,141.0,0
24,96.0,92.0,1
48,79.0,5.0,1
35,83.0,30.0,1
21,78.0,3.0,1
21,90.0,37.0,0
22,105.0,147.0,0
69,80.0,8.0,0
53,106.0,159.0,1
68,100.0,93.0,0
69,113.0,173.0,0
28,95.0,89.0,1
70,82.0,31.0,1
36,84.0,35.0,0
77,98.0,94.0,0
32,99.0,49.0,0
62,84.0,54.0,0
64,97.0,117.0,0
45,104.0,173.0,1
45,97.0,99.0,1
22,93.0,45.0,0
45,113.0,166.0,1
66,111.0,202.0,0
31,101.0,107.0,1
57,109.0,199.0,0
53,90.0,25.0,1
22,77.0,23.0,0
67,108.0,200.0,1
27,76.0,6.0,0
57,79.0,7.0,1
49,99.0,113.0,0
39,108.0,188.0,0
47,96.0,103.0,1
62,103.0,128.0,1
41,99.0,130.0,1
34,83.0,27.0,0
40,111.0,185.0,0
55,92.0,57.0,0
44,94.0,65.0,1
45,99.0,91.0,0
49,105.0,120.0,0
46,101.0,70.0,0
25,94.0,39.0,1
68,95.0,136.0,1
25,101.0,77.0,0
31,93.0,42.0,0
57,95.0,41.0,1
27,88.0,59.0,0
40,110.0,179.0,1
57,73.0,6.0,0
23,74.0,13.0,0
23,110.0,147.0,1
43,107.0,180.0,1
74,96.0,101.0,1
45,106.0,150.0,0
31,115.0,179.0,0
21,93.0,23.0,1
50,80.0,10.0,1
39,93.0,39.0,1
57,112.0,247.0,1
26,92.0,89.0,0
34,102.0,141.0,1
55,87.0,18.0,0
52,89.0,70.0,0
21,110.0,185.0,1
20,94.0,54.0,0
79,107.0,207.0,0
21,114.0,189.0,1
50,82.0,6.0,1
29,97.0,60.0,0
22,92.0,23.0,1
28,113.0,186.0,0
